No.,No. 2,desc,unit,Type,pcat,Sales Unit of Measure,Purch. Unit of Measure,Item Category Code
DON1,,捐款者-捐款者-個人,QTY,Service,DIO,QTY,QTY,DON1
DON10,,捐款者-其他,QTY,Service,DIO,QTY,QTY,DON10
DON2,,捐款者-捐款者-團體,QTY,Service,DIO,QTY,QTY,DON2
DON3,,捐款者-關連捐款者-個人,QTY,Service,DIO,QTY,QTY,DON3
DON4,,捐款者-關連捐款者-團體,QTY,Service,DIO,QTY,QTY,DON4
DON5,,捐款者-學校,QTY,Service,DIO,QTY,QTY,DON5
DON6,,捐款者-政府部門,QTY,Service,DIO,QTY,QTY,DON6
DON7,,捐款者-慈善機構,QTY,Service,DIO,QTY,QTY,DON7
DON8,,捐款者-事局董,QTY,Service,ADD,QTY,QTY,DON8
DON9,,捐款者-諮議局,QTY,Service,ADD,QTY,QTY,DON9
FOO1,,肉食(豬牛羊) ,QTY,Inventory,FOO,QTY,QTY,FOO1
FOO10,,奶粉粟米片,QTY,Inventory,FOO,QTY,QTY,FOO10
FOO11,,飲品 ,QTY,Inventory,FOO,QTY,QTY,FOO11
FOO14,,雜貨(粉麵豆品) ,QTY,Inventory,FOO,QTY,QTY,FOO14
FOO2,,凍肉 ,QTY,Inventory,FOO,QTY,QTY,FOO2
FOO3,,燒臘冰鮮/活家禽 ,QTY,Inventory,FOO,QTY,QTY,FOO3
FOO4,,海產咸/淡水魚蝦 ,QTY,Inventory,FOO,QTY,QTY,FOO4
FOO5,,蔬菜瓜 ,QTY,Inventory,FOO,QTY,QTY,FOO5
FOO6,,雜貨(米油鹽) ,QTY,Inventory,FOO,QTY,QTY,FOO6
FOO7,,生果,QTY,Inventory,FOO,QTY,QTY,FOO7
FOO8,,麵包 ,QTY,Inventory,FOO,QTY,QTY,FOO8
FOO9,,餅乾 ,QTY,Inventory,FOO,QTY,QTY,FOO9
HE1,,宿舍服務-住宿,QTY,Service,SERI,QTY,QTY,HE1
HE2,,宿舍服務-沖涼,QTY,Service,SERI,QTY,QTY,HE2
HE3,,宿舍服務-洗衫,QTY,Service,SERI,QTY,QTY,HE3
HE4,,宿舍服務-雜費,QTY,Service,SERI,QTY,QTY,HE4
MED1,,藥物,QTY,Inventory,MED,QTY,QTY,MED1
MED2,,口罩,QTY,Inventory,MED,QTY,QTY,MED2
MED3,,醫療用料,QTY,Inventory,MED,QTY,QTY,MED3
MEMA1,,成人-普通會員-18-59歲,QTY,Service,MEMI,QTY,QTY,MEMA1
MEMA2,,成人-社區會員-凡年滿25歲或以上之服務使用者,QTY,Service,MEMI,QTY,QTY,MEMA2
MEMA3,,成人-成人會員-25歲或以上,QTY,Service,MEMI,QTY,QTY,MEMA3
MEMA4,,成人-先進會員-45-59歲,QTY,Service,MEMI,QTY,QTY,MEMA4
MEMA5,,成人-銀齡會員-50-59歲,QTY,Service,MEMI,QTY,QTY,MEMA5
MEMA6,,成人-第三齡會員-55-59歲,QTY,Service,MEMI,QTY,QTY,MEMA6
MEMC1,,兒童-幼兒會員-3-5歲,QTY,Service,MEMI,QTY,QTY,MEMC1
MEMC2,,兒童-兒童會員-6-10歲,QTY,Service,MEMI,QTY,QTY,MEMC2
MEME1,,長者-長者支援服務隊個案會員-60歲或以上獨居或缺乏支援之長者,QTY,Service,MEMI,QTY,QTY,MEME1
MEME2,,長者-長者會員-60歲或以上,QTY,Service,MEMI,QTY,QTY,MEME2
MEME3,,長者-智慧會員-60-64歲,QTY,Service,MEMI,QTY,QTY,MEME3
MEME4,,長者-健康會員-65-69歲,QTY,Service,MEMI,QTY,QTY,MEME4
MEME5,,長者-休閒會員-70-79歲,QTY,Service,MEMI,QTY,QTY,MEME5
MEME6,,長者-老友會員-80歲或以上,QTY,Service,MEMI,QTY,QTY,MEME6
MEMO1,,其他-附屬會員-同住之家庭成員,QTY,Service,MEMI,QTY,QTY,MEMO1
MEMO10,,其他-飯堂優先會員,QTY,Service,MEMI,QTY,QTY,MEMO10
MEMO11,,其他-長者支援隊(義工會員),QTY,Service,MEMI,QTY,QTY,MEMO11
MEMO12,,其他-長者支援隊(義工機構),QTY,Service,MEMI,QTY,QTY,MEMO12
MEMO13,,其他-鄉郊會員,QTY,Service,MEMI,QTY,QTY,MEMO13
MEMO14,,其他-智友醫社同行個案,QTY,Service,MEMI,QTY,QTY,MEMO14
MEMO15,,其他-飯堂優先會員,QTY,Service,MEMI,QTY,QTY,MEMO15
MEMO16,,其他-愛心卡會員,QTY,Service,MEMI,QTY,QTY,MEMO16
MEMO17,,其他-樂助弱老基金個案,QTY,Service,MEMI,QTY,QTY,MEMO17
MEMO18,,其他-關愛基金個案,QTY,Service,MEMI,QTY,QTY,MEMO18
MEMO19,,其他-社區照顧券個案,QTY,Service,MEMI,QTY,QTY,MEMO19
MEMO2,,其他-社區服務會員 - 個人,QTY,Service,MEMI,QTY,QTY,MEMO2
MEMO20,,其他-隱蔽長者,QTY,Service,MEMI,QTY,QTY,MEMO20
MEMO21,,其他-員工,QTY,Service,MEMI,QTY,QTY,MEMO21
MEMO22,,其他-導師,QTY,Service,MEMI,QTY,QTY,MEMO22
MEMO23,,其他-學生,QTY,Service,MEMI,QTY,QTY,MEMO23
MEMO24,,其他-院友,QTY,Service,MEMI,QTY,QTY,MEMO24
MEMO25,,其他-公司,QTY,Service,MEMI,QTY,QTY,MEMO25
MEMO26,,其他-其他,QTY,Service,MEMI,QTY,QTY,MEMO26
MEMO3,,其他-社區服務會員 - 家庭,QTY,Service,MEMI,QTY,QTY,MEMO3
MEMO4,,其他-團體會員-香港註册之社團及工商機構,QTY,Service,MEMI,QTY,QTY,MEMO4
MEMO5,,其他-會員嘉賓-須中心會員介紹,QTY,Service,MEMI,QTY,QTY,MEMO5
MEMO6,,其他-VIP,QTY,Service,MEMI,QTY,QTY,MEMO6
MEMO7,,其他-義工會員-年滿8歲或以上登記義工,QTY,Service,MEMI,QTY,QTY,MEMO7
MEMO8,,其他-非會員-長者之家人(沒有登記為護老者)/個案/隱長/社區人士/已登記55歲或以上社區人士/已登記54歲或以下參加個別活動社區人士,QTY,Service,MEMI,QTY,QTY,MEMO8
MEMO9,,其他-護老者/有需要護老者會員-為60歲或以上提供照顧的成人護老者,QTY,Service,MEMI,QTY,QTY,MEMO9
MEMY1,,青少年-新進會員-11-14歲或以下,QTY,Service,MEMI,QTY,QTY,MEMY1
MEMY2,,青少年-少年會員-17歲或以下,QTY,Service,MEMI,QTY,QTY,MEMY2
MEMY3,,青少年-青少年會員-6-24歲,QTY,Service,MEMI,QTY,QTY,MEMY3
MEMY4,,青少年-青年會員-15-24歲,QTY,Service,MEMI,QTY,QTY,MEMY4
PUR1,,#7374C-Folding Frame Standard 可摺疊式助行架,,Inventory,PUR,PCS,PCS,PUR1
PUR10,,麥麩蘇打餅 400g,PACK,Inventory,PUR,PACK,PACK,PUR10
PUR100,,MAMY快食河粉,PACK,Inventory,PUR,PACK,PACK,PUR100
PUR101,,泰國有機香米1kg,PACK,Inventory,PUR,PACK,PACK,PUR101
PUR102,,泰國有機白米500g,PACK,Inventory,PUR,PACK,PACK,PUR102
PUR103,,泰國有機香糙米1kg,PACK,Inventory,PUR,PACK,PACK,PUR103
PUR104,,泰國有機紅米1kg,PACK,Inventory,PUR,PACK,PACK,PUR104
PUR105,,泰國有機3色米,PACK,Inventory,PUR,PACK,PACK,PUR105
PUR106,,有機即沖芝麻8穀營養餐,CAN,Inventory,PUR,CAN,CAN,PUR106
PUR107,,有機即沖芝麻8穀營養餐(無糖),CAN,Inventory,PUR,CAN,CAN,PUR107
PUR108,,有機15果糧香脆條,BOX,Inventory,PUR,BOX,BOX,PUR108
PUR109,,有機黑芝麻米糧香脆條,BOX,Inventory,PUR,BOX,BOX,PUR109
PUR11,,方塊酥（新包裝）,BOX,Inventory,PUR,BOX,BOX,PUR11
PUR110,,藍雀多功能體溫計,,Inventory,PUR,PCS,PCS,PUR110
PUR111,,藍雀 (獨立式口罩)X50PCS,BOX,Inventory,PUR,BOX,BOX,PUR111
PUR112,,藍雀 (獨立式口罩),BOX,Inventory,PUR,BOX,BOX,PUR112
PUR113,,藍雀潔膚柔濕巾XL,PACK,Inventory,PUR,PACK,PACK,PUR113
PUR114,,回歸活動紀念廣告帽,,Inventory,PUR,PCS,PCS,PUR114
PUR115,,小麥餐具三件套,,Inventory,PUR,PCS,PCS,PUR115
PUR116,,環保記事簿,,Inventory,PUR,PCS,PCS,PUR116
PUR117,,泰國龍眼乾,PACK,Inventory,PUR,PACK,PACK,PUR117
PUR118,,凍乾水果（蜜桃）,PACK,Inventory,PUR,PACK,PACK,PUR118
PUR119,,凍乾水果（草莓）,PACK,Inventory,PUR,PACK,PACK,PUR119
PUR12,,糙米米果 60g,PACK,Inventory,PUR,PACK,PACK,PUR12
PUR120,,凍乾榴蓮,PACK,Inventory,PUR,PACK,PACK,PUR120
PUR121,,環保肥皂（綠慧公社）,,Inventory,PUR,PCS,PCS,PUR121
PUR122,,歐姆龍手臂式血壓計7121(會員特價）,,Inventory,PUR,PCS,PCS,PUR122
PUR123,,GAYA泰國草本熱敷包-腰肚,,Inventory,PUR,PCS,PCS,PUR123
PUR124,,藥丸分割器,,Inventory,PUR,PCS,PCS,PUR124
PUR125,,養生薈有機黃金亞麻籽454g,CAN,Inventory,PUR,CAN,CAN,PUR125
PUR126,,雙面彩色燙畫拉鏈帆布袋,,Inventory,PUR,PCS,PCS,PUR126
PUR127,,強生血糖機(贈品）,,Inventory,PUR,PCS,PCS,PUR127
PUR128,,JJ SELECT PLUS血糖紙50s,BOX,Inventory,PUR,BOX,BOX,PUR128
PUR129,,JJ DELICA LANCET採血針 100S,BOX,Inventory,PUR,BOX,BOX,PUR129
PUR13,,黑糖沙琪瑪(無蛋),PACK,Inventory,PUR,PACK,PACK,PUR13
PUR130,,OTULTRAEASY血糖測試機（贈品）,BOX,Inventory,PUR,BOX,BOX,PUR130
PUR131,,無菌敷料包,PACK,Inventory,PUR,PACK,PACK,PUR131
PUR132,,丹麥高級成人尿片,PACK,Inventory,PUR,PACK,PACK,PUR132
PUR133,,紫菜,PACK,Inventory,PUR,PACK,PACK,PUR133
PUR134,,纖維粉,CAN,Inventory,PUR,CAN,CAN,PUR134
PUR135,,螺旋藻高鈣燕麥奶,CAN,Inventory,PUR,CAN,CAN,PUR135
PUR136,,純黑芝麻粉,CAN,Inventory,PUR,CAN,CAN,PUR136
PUR137,,澳洲頂級大燕麥片,CAN,Inventory,PUR,CAN,CAN,PUR137
PUR138,,高鈣杏仁茶,CAN,Inventory,PUR,CAN,CAN,PUR138
PUR139,,岳盛小阿姨黑糖薑母茶,PACK,Inventory,PUR,PACK,PACK,PUR139
PUR14,,珊瑚藻凍(白葡萄味),CUP,Inventory,PUR,CUP,CUP,PUR14
PUR140,,紅薏仁粉,BOTTLE,Inventory,PUR,BOTTLE,BOTTLE,PUR140
PUR141,,牛蒡片,PACK,Inventory,PUR,PACK,PACK,PUR141
PUR142,,葡萄糖胺燕麥奶,CAN,Inventory,PUR,CAN,CAN,PUR142
PUR143,,淮山餅,PACK,Inventory,PUR,PACK,PACK,PUR143
PUR144,,核桃粉,CAN,Inventory,PUR,CAN,CAN,PUR144
PUR145,,環保香橙肥皂,,Inventory,PUR,PCS,PCS,PUR145
PUR146,,佳膳纖維配方,PACK,Inventory,PUR,PACK,PACK,PUR146
PUR147,,佳膳成人升級配方800G,CAN,Inventory,PUR,CAN,CAN,PUR147
PUR148,,矽膠 3/4 掌墊  (中),,Inventory,PUR,PCS,PCS,PUR148
PUR149,,環保天然有機肥100g,,Inventory,PUR,PCS,PCS,PUR149
PUR15,,腰果鹹醬夾心酥,BOX,Inventory,PUR,BOX,BOX,PUR15
PUR150,,植物活力液,BOTTLE,Inventory,PUR,BOTTLE,BOTTLE,PUR150
PUR151,,彩色4x7日 28格藥盒,,Inventory,PUR,PCS,PCS,PUR151
PUR152,,Folding up drinking cup with pill box,,Inventory,PUR,PCS,PCS,PUR152
PUR153,,滅蟲貼,PACK,Inventory,PUR,PACK,PACK,PUR153
PUR154,,越南有機椰青水,CAN,Inventory,PUR,CAN,CAN,PUR154
PUR155,,椰奶,CAN,Inventory,PUR,CAN,CAN,PUR155
PUR156,,天然死海礦物浴鹽,,Inventory,PUR,PCS,PCS,PUR156
PUR157,,有機秋木耳（小盒）,BOX,Inventory,PUR,BOX,BOX,PUR157
PUR158,,有機銀耳（小盒）,BOX,Inventory,PUR,BOX,BOX,PUR158
PUR159,,和然有機醬油（500ml）,BOTTLE,Inventory,PUR,BOTTLE,BOTTLE,PUR159
PUR16,,細海鹽,PACK,Inventory,PUR,PACK,PACK,PUR16
PUR160,,有機豆瓣醬（細）,BOTTLE,Inventory,PUR,BOTTLE,BOTTLE,PUR160
PUR161,,天然有機醬油,BOTTLE,Inventory,PUR,BOTTLE,BOTTLE,PUR161
PUR162,,和然有機大豆瓣醬（800g）,BOTTLE,Inventory,PUR,BOTTLE,BOTTLE,PUR162
PUR163,,歐姆龍OMRON全自動手臂式電子血壓計JPN500(附贈品）,,Inventory,PUR,PCS,PCS,PUR163
PUR164,,超大葡萄乾,PACK,Inventory,PUR,PACK,PACK,PUR164
PUR165,,有機木耳膠原飲,PACK,Inventory,PUR,PACK,PACK,PUR165
PUR166,,澳洲有機湖鹽,PACK,Inventory,PUR,PACK,PACK,PUR166
PUR167,,有機即溶苔麩片250g,CAN,Inventory,PUR,CAN,CAN,PUR167
PUR168,,枸杞菊花養生飲,PACK,Inventory,PUR,PACK,PACK,PUR168
PUR169,,有機甘栗仁,PACK,Inventory,PUR,PACK,PACK,PUR169
PUR17,,澳洲天然湖鹽 (簡單生活),PACK,Inventory,PUR,PACK,PACK,PUR17
PUR170,,蕃薯乾,PACK,Inventory,PUR,PACK,PACK,PUR170
