Code,pcat,desc,Indentation,Presentation Order,Has Children,Last Modified Date Time,Id,item_cat
AUD,,Audit Remuneration,0,1,false,2019-11-06T05:57:07.347Z,{7065EB95-1317-40E6-9F75-2AE84CCA16D5},
BBD,,Broad band for internet connection,0,2,false,2019-11-06T05:57:08.173Z,{8485C870-79FA-4AD3-919B-EFB1CB657415},
BDE,,Board related expenses,0,3,false,2019-11-06T05:57:08.017Z,{301B6FCC-EFC4-4A39-B98F-54B40FE4AFD3},
BDM,,Board meeting expenses,0,4,false,2019-11-06T05:57:08.017Z,{D2DE4D2E-BF47-4E1C-9B96-A2A47AC2B22E},
CEP,,Computer education program expenses,0,5,false,2019-11-06T05:57:08.267Z,{5AEE11FB-8076-4778-96D5-D87E8BB4B047},
CLE,,Cleaning material,0,6,true,2019-11-06T05:57:07.317Z,{5BBB1736-0827-4292-A306-86B8DF4F6ECB},
CLE1,CLE,Cleaning service,1,7,false,2019-11-06T05:57:07.33Z,{72C7DBAF-AA88-4920-AD7C-1FF0FD693560},
CLE2,CLE,Tissue,1,8,false,2019-11-06T05:57:07.33Z,{E052C1A5-0782-42E4-94FC-8B15CE538781},
CMT,,Accessories and materials,0,9,false,2019-11-06T05:57:08.127Z,{20646674-E33A-405C-8D35-F29676C77A11},
CSF,,Software,0,10,true,2019-11-06T05:57:08.143Z,{D97FE6C1-C14D-496F-AB59-ED8D5C62D573},
CSF1,CSF,Licence,1,11,false,2019-11-06T05:57:08.143Z,{DE6C02E7-4173-42A8-B4A6-AAD609F56FE1},
DON,,Donation,0,12,false,2019-11-06T05:57:08.33Z,{9B772313-E022-49C0-A8D0-92EE4F5A9A47},
ELE,,Electricity,0,13,false,2019-11-06T05:57:08.157Z,{C9B4B348-1EE1-404D-9775-545F46967AB8},
EQU,,Expendable equipment,0,14,true,2019-11-06T05:57:07.36Z,{091287E1-0C32-4F51-ADC8-D9C2DB5F181F},
EQU1,EQU,Furniture,1,15,false,2019-11-06T05:57:07.643Z,{F02FBB3C-C460-42CD-B4A4-22DF6341120A},
