scode,bcode,bcode2,desc
0000023,000013,,"#2305 Traditional Walking Stick 36"" 古典型拐杖              "
CH0001,025715678566,025715678566,#67856 Safety Shield Tablet Cutter切藥器
CH0002,025715710914,025715710914,#71091-EZY DOSE 藥丸磨連藥盒(文化村）
0000024,000014,,#7374C-Folding Frame Standard 可摺疊式助行架
0001010,,,#7375C-Folding Frame Standard-可摺疊式助行架
0000021,000011,,#7711C-Adj Support Sticks Swan Neck 鋁裝拐杖
0001009,,,#7712C-Adj Support Sticks Swan Neck 鋁裝拐杖
0000029,000018,,#HA0720 (10626) Long Handle Shoe Horn 穿鞋器
CH0020,4987603357303,,（新）日本喜舒樂成人紙尿褲(薄裝)大碼(30片/包)
0000013,679090500020,,"10""x15""                                                     "
32240375,,,100%有機人參鬚
32150773,,,100%有機加州甜杏仁 (無烘焙)
32120226,4712511470796,,100%有機砂糖簡單生活
32150087,4712511470529,,100％有機紅棗
LCL254,4712067894725,,100%純黑芝麻粉
0000027,000017,,10160C-Bathboard with Handle 浴室板有扶手
0000026,000016,,10208BZEuropean Style Reachers-Bronze 拾物器
DRINK001,,,10元飲品
0001003,9314839000916,,13mm膠腳(灰色)(主要四腳叉用)
WH00253,,,13mm膠腳套
0001004,9314839000917,,16mm膠腳(灰色)(主要四腳叉用)
0001005,9314839000918,,19mm膠腳
0001105,4891690000606,,19mm膠腳
0000276,000204,,"20""座闊, 20""座高, 16""座深, 18.2Kg重, 載重120Kg              "
ABC0010,679090100022,,"3"" x 16""                                                    "
ABC0011,679090300026,,4.5 X 10.5
DRINK005,,,5元飲品
0000012,679090400023,,"6"" x 10""                                                    "
ABC0014,679090600027,,"6"" x 6""                                                     "
SUN05,,,6支裝即飲果醋（青梅）
SUN03,,,6支裝即飲果醋（葡萄）
SUN04,4710783055079,,6支裝即飲果醋（蘋果）
AD1020,,,A&D1020血壓計
WH2015,8805178112287,,ACE BAND藥水膠布
CH01040342,MSVP2011,MSVP2011,Aidap可摺式拐杖
JSM996LH,,,ALLWAY有輪助行車
AW-869LJ-43,,,ALLWAY自助輪椅
7000010,9556001125481,,ALLWAY靠背浴椅
ASCENSIA10,,,ASCENSIA血糖套裝(1機+1紙+1針)
ASCENSIA11,,,ASCENSIA血糖套裝(1機+2紙)
ASCENSIA01,5016003765308,5016003765308,ASCENSIA血糖紙50's
ASCENSIA02,5016003657900,5016003657900,ASCENSIA血糖針100's
ASCENSIA03,5016003761805,7618-1028168,ASCENSIA血糖機
679090310018,679090310018,,Back & Ribs Therapy Wrap 冷熱貼 (背部及腹部使用)
ABC0003,000003,,Back & Ribs Therapy Wrap 冷熱貼 (背部及腹部使用)
0000193,000140,,Bauerfeind 腳趾矯止器  右  # 2
0000192,000139,,Bauerfeind 腳趾矯止器  右 # 1
0000190,000137,,Bauerfeind 腳趾矯止器  左  #1
0000191,000138,,Bauerfeind腳趾矯止器  左 # 2
O000004,,,BD MICO-FINE NEEDLES 0.25MM
BD005MM,,,bd micro-fine pen needles
BD-30,,,BD胰島素針咀
M00018,,,BENEPROTEIN蛋白粉
BT01,,,betadine antiseptic ointment 100
BET01,,,BETADINE油膏劑
GBF3025,8850987351372,,Bissin威化餅(可可)
GBF3023,8850987351396,,Bissin威化餅(咖啡)
GBF3022,8850987362002,,Bissin威化餅(藍莓)
01030325,,,Bm22-45s-m輕量型輪椅
0000240,000180,,Bort # 137030貼 Texline Hallux-Pad (大碼)
0000241,000181,,Bort # 137030貼 Texline Hallux-Pad (細碼)
RT4005,RT4005,4005862044625,Bort137040 PEDI SOFT TEXLINE
RT4007,RT4007,PD000000849,Bort腳趾護套#137030 Pedi Soft Texline Hallux-Pad（L)
RT4006,RT4006,PD000000848,Bort腳趾護套#137030 Pedi Soft Texline Hallux-Pad（S)
KF001,642243914043,,CanBest有機燕麥片（10小包）
CH0004,4963008000198,,"CM019-膠片放大鏡3""x6""(放大3.5倍)                            "
0001106,4891690000607,,Comefree CF-714多功能磁波
RT00039,RT00039,RT-PD000000039,Comefree CF-841 護具系列（護腕）
RT00042,RT00042,,Comefree CF-843 護具系統（護肘）L
RT00041,RT00041,,Comefree CF-843 護具系統（護肘）M
RT00043,RT00043,,Comefree CF-843 護具系統（護肘）XL
RT0000045,RT0000045,,Comefree CF-843 護具系統（護膝）S
RT0000046,RT0000046,,Comefree CF-843護具系列（護膝）L
RT0000044,RT0000044,2010100111843,Comefree CF-843護具系列（護膝）M
RT0000047,RT0000047,,Comefree CF-843護具系列（護膝）XL
NP636,742137870636,,COMFY NEXK CUSHION
AT10,9334988000600,9334988000600,Docpods Ultra Soft M
AT09,9334988000594,9334988000594,Docpods Ultra Soft S
AT08,9334988000242,9334988000242,Docpods Ultra Soft XS
JSM006,,,Dressing Set-JSM
PEN002,,,ECO PEN (highlight)
ECO001,,,Ecosure far infrared neck support pillow枕頭
EC03,,,Ecosure健康枕頭
EC01,,,Ecosure健康鞋墊
EC02,,,Ecosure健康頸枕
EC04,,,Ecosure護膝
O000001,,,Elite血糖測試紙
ELITE01,,,elite血糖試紙
ORDER20130401,5016003394607,,ELITE血糖試紙
ME5116,7503011914821,,enature有機咖啡粉
ME5121,,,Enature有機原味即溶咖啡
RT0000005,RT0000005,,EV807T電療止痛機
RT0000004,RT0000004,PD000000093,Everyway TENS E-704 電療止痛機
IC3001,IC3001,,EXERCISE BAND 6呎練力帶（紅色）
IC3002,IC3002,,EXERCISE BAND 6呎練力帶（綠色）
TS1003,,,Extra Virgin Coconut Oil207
PRINCE-100N,,,FINGERTIP PULSE OXIMETER
FS-915L,,,FOLDABLE WALKER
0000128,000087,,Folding Seat Cane 拐杖椅(灰色)
CH0000131,5609,,Folding up drinking cup with pill box
MS-PB128,,,Folding up drinking cup with pill box
AT07,9334988000303,9334988000303,footpillow 鞋墊
NP4028,4895184104028,,FORCE PILLOW MAT
IC1002,8858830210036,8858830210036,GAYA泰國草本熱敷包-肩膊
IC1003,8858830210050,8858830210050,GAYA泰國草本熱敷包-眼罩
IC1001,8858830210043,8858830210043,GAYA泰國草本熱敷包-腰肚
0000210,000156,,Gilofa 2000 靜脈曲張高壓力襪  (中碼)
0000209,000155,,Gilofa 2000 靜脈曲張高壓力襪 (大碼)
0000211,000157,,Gilofa 2000 靜脈曲張高壓力襪 (細碼)
0001021,4018839039708,,Gilofa 2000 靜脈曲張襪-三骨(中碼)
TX3100,8856977002651,,Good Fitt' 發芽米全穀脆果條- 低糖
GRE-012A,8858358008290,8858358008290,GREENDAY 天然洋蔥片
GRE-010,8858358007958,8858358007958,GREENDAY 天然紅菜頭片
GRE-008,8858358002014,8858358002014,GREENDAY 天然雜果片
GRE-007,8858358005022,8858358005022,GREENDAY 秋葵條
LCLGT01,,,GREENTEA
DB954-HS03,,,Haemstix圓插刺針 30G
3800025,4711769860328,4711769860328,HANNOX多功能探熱器
GBF-TX3050,8856977002378,,heabtii果仁及乾果脆條-盒裝
679090410015,679090410015,,Head & Neck Therapy Wrap 冷熱貼 (頭及頸部使用)
ABC0004,000004,,Head & Neck Therapy Wrap 冷熱貼 (頭及頸部使用)
GBF-TX3060,8856977002675,,HEARTII黑芝麻多轂脆條-盒裝
70001,9556001125482,,HEINZ APPLE
HESTIA01,8697439055729,8697439055729,HESTIA純正橄欖油
CH0003,4897012640807,,High Tea文化麵-煙斗粉500g (24包/箱)
HEM-NS-MC-510,4975479524912,NS-MC-5101,Infrared thermometer額溫型紅外線體溫計
IBN06,4897007278930,4897007278930,INP加拿大花旗參片
4711140810737,4711140810737,4711140810737,INSTANT BIRD'S NEST (PROMOT)
ABC0015,679090220027,,Instant Cold Pain Relief Pack
M1002,PD000000062,,ISOCAL愛素寶 237ml（24罐/箱）
M0020,100501150,,ISOSOURCE健源素1.5CAL
JJ0100,4030841004017,,JJ DELICA LANCET採血針 100S
JJ0091,4030841005717,,JJ SELECT PLUS血糖紙50s
JSL0002,6901180970586,,JSL朱古力芝麻薄脆
TEAM-JIA003,6901180980684,,JSL抹茶香薄脆餅
TEAM-JIA001,6901180970487,,JSL芝麻香薄脆
6901180953282,,,JSL芝麻脆餅禮盒
TEAM-JIA004,6901180964080,,JSL草莓果醬餅乾
TEAM-008,,,JSL餅乾禮盒
TEAM-JIA005,6901180964189,,JSL鳳梨夾心餅
6901180953688,,,JSL蔥油脆餅
SUN3984,,,JSL藍莓夾心餅
TEAM-JIA006,6901180963984,,JSL藍莓果醬餅乾
TEAM-JIA008,6901180937985,,JSL雜錦禮盒
0000245,000184,,JSP Nano Vibrational pad (大)
MS0003,000090,,"King's Cane八角型手杖, 古桐色"
MS0005,000092,,"King's Cane八角型手杖, 黑色"
MS0004,000091,,"King's Cane八角型手杖, 藍色"
