desc,variable,value
"#2305 Traditional Walking Stick 36"" 古典型拐杖              ",scode,0000023
#67856 Safety Shield Tablet Cutter切藥器,scode,CH0001
#71091-EZY DOSE 藥丸磨連藥盒(文化村）,scode,CH0002
#7374C-Folding Frame Standard 可摺疊式助行架,scode,0000024
#7375C-Folding Frame Standard-可摺疊式助行架,scode,0001010
#7711C-Adj Support Sticks Swan Neck 鋁裝拐杖,scode,0000021
#7712C-Adj Support Sticks Swan Neck 鋁裝拐杖,scode,0001009
#HA0720 (10626) Long Handle Shoe Horn 穿鞋器,scode,0000029
（新）日本喜舒樂成人紙尿褲(薄裝)大碼(30片/包),scode,CH0020
"10""x15""                                                     ",scode,0000013
100%有機人參鬚,scode,32240375
100%有機加州甜杏仁 (無烘焙),scode,32150773
100%有機砂糖簡單生活,scode,32120226
100％有機紅棗,scode,32150087
100%純黑芝麻粉,scode,LCL254
10160C-Bathboard with Handle 浴室板有扶手,scode,0000027
10208BZEuropean Style Reachers-Bronze 拾物器,scode,0000026
10元飲品,scode,DRINK001
13mm膠腳(灰色)(主要四腳叉用),scode,0001003
13mm膠腳套,scode,WH00253
16mm膠腳(灰色)(主要四腳叉用),scode,0001004
19mm膠腳,scode,0001005
19mm膠腳,scode,0001105
"20""座闊, 20""座高, 16""座深, 18.2Kg重, 載重120Kg              ",scode,0000276
"3"" x 16""                                                    ",scode,ABC0010
4.5 X 10.5,scode,ABC0011
5元飲品,scode,DRINK005
"6"" x 10""                                                    ",scode,0000012
"6"" x 6""                                                     ",scode,ABC0014
6支裝即飲果醋（青梅）,scode,SUN05
6支裝即飲果醋（葡萄）,scode,SUN03
6支裝即飲果醋（蘋果）,scode,SUN04
A&D1020血壓計,scode,AD1020
ACE BAND藥水膠布,scode,WH2015
Aidap可摺式拐杖,scode,CH01040342
ALLWAY有輪助行車,scode,JSM996LH
ALLWAY自助輪椅,scode,AW-869LJ-43
ALLWAY靠背浴椅,scode,7000010
ASCENSIA血糖套裝(1機+1紙+1針),scode,ASCENSIA10
ASCENSIA血糖套裝(1機+2紙),scode,ASCENSIA11
ASCENSIA血糖紙50's,scode,ASCENSIA01
ASCENSIA血糖針100's,scode,ASCENSIA02
ASCENSIA血糖機,scode,ASCENSIA03
Back & Ribs Therapy Wrap 冷熱貼 (背部及腹部使用),scode,679090310018
Back & Ribs Therapy Wrap 冷熱貼 (背部及腹部使用),scode,ABC0003
Bauerfeind 腳趾矯止器  右  # 2,scode,0000193
Bauerfeind 腳趾矯止器  右 # 1,scode,0000192
Bauerfeind 腳趾矯止器  左  #1,scode,0000190
Bauerfeind腳趾矯止器  左 # 2,scode,0000191
BD MICO-FINE NEEDLES 0.25MM,scode,O000004
bd micro-fine pen needles,scode,BD005MM
BD胰島素針咀,scode,BD-30
BENEPROTEIN蛋白粉,scode,M00018
betadine antiseptic ointment 100,scode,BT01
BETADINE油膏劑,scode,BET01
Bissin威化餅(可可),scode,GBF3025
Bissin威化餅(咖啡),scode,GBF3023
Bissin威化餅(藍莓),scode,GBF3022
Bm22-45s-m輕量型輪椅,scode,01030325
Bort # 137030貼 Texline Hallux-Pad (大碼),scode,0000240
Bort # 137030貼 Texline Hallux-Pad (細碼),scode,0000241
Bort137040 PEDI SOFT TEXLINE,scode,RT4005
Bort腳趾護套#137030 Pedi Soft Texline Hallux-Pad（L),scode,RT4007
Bort腳趾護套#137030 Pedi Soft Texline Hallux-Pad（S),scode,RT4006
CanBest有機燕麥片（10小包）,scode,KF001
"CM019-膠片放大鏡3""x6""(放大3.5倍)                            ",scode,CH0004
Comefree CF-714多功能磁波,scode,0001106
Comefree CF-841 護具系列（護腕）,scode,RT00039
Comefree CF-843 護具系統（護肘）L,scode,RT00042
Comefree CF-843 護具系統（護肘）M,scode,RT00041
Comefree CF-843 護具系統（護肘）XL,scode,RT00043
Comefree CF-843 護具系統（護膝）S,scode,RT0000045
Comefree CF-843護具系列（護膝）L,scode,RT0000046
Comefree CF-843護具系列（護膝）M,scode,RT0000044
Comefree CF-843護具系列（護膝）XL,scode,RT0000047
COMFY NEXK CUSHION,scode,NP636
Docpods Ultra Soft M,scode,AT10
Docpods Ultra Soft S,scode,AT09
Docpods Ultra Soft XS,scode,AT08
Dressing Set-JSM,scode,JSM006
ECO PEN (highlight),scode,PEN002
Ecosure far infrared neck support pillow枕頭,scode,ECO001
Ecosure健康枕頭,scode,EC03
Ecosure健康鞋墊,scode,EC01
Ecosure健康頸枕,scode,EC02
Ecosure護膝,scode,EC04
Elite血糖測試紙,scode,O000001
elite血糖試紙,scode,ELITE01
ELITE血糖試紙,scode,ORDER20130401
enature有機咖啡粉,scode,ME5116
Enature有機原味即溶咖啡,scode,ME5121
EV807T電療止痛機,scode,RT0000005
Everyway TENS E-704 電療止痛機,scode,RT0000004
EXERCISE BAND 6呎練力帶（紅色）,scode,IC3001
EXERCISE BAND 6呎練力帶（綠色）,scode,IC3002
Extra Virgin Coconut Oil207,scode,TS1003
FINGERTIP PULSE OXIMETER,scode,PRINCE-100N
FOLDABLE WALKER,scode,FS-915L
Folding Seat Cane 拐杖椅(灰色),scode,0000128
Folding up drinking cup with pill box,scode,CH0000131
Folding up drinking cup with pill box,scode,MS-PB128
footpillow 鞋墊,scode,AT07
FORCE PILLOW MAT,scode,NP4028
GAYA泰國草本熱敷包-肩膊,scode,IC1002
GAYA泰國草本熱敷包-眼罩,scode,IC1003
GAYA泰國草本熱敷包-腰肚,scode,IC1001
Gilofa 2000 靜脈曲張高壓力襪  (中碼),scode,0000210
Gilofa 2000 靜脈曲張高壓力襪 (大碼),scode,0000209
Gilofa 2000 靜脈曲張高壓力襪 (細碼),scode,0000211
Gilofa 2000 靜脈曲張襪-三骨(中碼),scode,0001021
Good Fitt' 發芽米全穀脆果條- 低糖,scode,TX3100
GREENDAY 天然洋蔥片,scode,GRE-012A
GREENDAY 天然紅菜頭片,scode,GRE-010
GREENDAY 天然雜果片,scode,GRE-008
GREENDAY 秋葵條,scode,GRE-007
GREENTEA,scode,LCLGT01
Haemstix圓插刺針 30G,scode,DB954-HS03
HANNOX多功能探熱器,scode,3800025
heabtii果仁及乾果脆條-盒裝,scode,GBF-TX3050
Head & Neck Therapy Wrap 冷熱貼 (頭及頸部使用),scode,679090410015
Head & Neck Therapy Wrap 冷熱貼 (頭及頸部使用),scode,ABC0004
HEARTII黑芝麻多轂脆條-盒裝,scode,GBF-TX3060
HEINZ APPLE,scode,70001
HESTIA純正橄欖油,scode,HESTIA01
High Tea文化麵-煙斗粉500g (24包/箱),scode,CH0003
Infrared thermometer額溫型紅外線體溫計,scode,HEM-NS-MC-510
INP加拿大花旗參片,scode,IBN06
INSTANT BIRD'S NEST (PROMOT),scode,4711140810737
Instant Cold Pain Relief Pack,scode,ABC0015
ISOCAL愛素寶 237ml（24罐/箱）,scode,M1002
ISOSOURCE健源素1.5CAL,scode,M0020
JJ DELICA LANCET採血針 100S,scode,JJ0100
JJ SELECT PLUS血糖紙50s,scode,JJ0091
JSL朱古力芝麻薄脆,scode,JSL0002
JSL抹茶香薄脆餅,scode,TEAM-JIA003
JSL芝麻香薄脆,scode,TEAM-JIA001
JSL芝麻脆餅禮盒,scode,6901180953282
JSL草莓果醬餅乾,scode,TEAM-JIA004
JSL餅乾禮盒,scode,TEAM-008
JSL鳳梨夾心餅,scode,TEAM-JIA005
JSL蔥油脆餅,scode,6901180953688
JSL藍莓夾心餅,scode,SUN3984
JSL藍莓果醬餅乾,scode,TEAM-JIA006
